MFP ID,Name,Brand,Verified,Serving,Calories,Fat,Carbohydrates,Protein,Fiber,Sugar,Sodium,Calcium,Cholesterol,Iron,Monounsaturated Fat,Polyunsaturated Fat,Potassium,Saturated Fat,Trans Fat,Vitamin A,Vitamin C,Confirmations,Servings
63649053798253,Apple Pie Baked in an Apple,Apple pie baked in an apple,True,apple,250.0,13.0,32.0,2.0,4.0,13.0,170.0,2.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,4.0,25.0,1,[<1.00 x apple>]
27657235147901,Apple 1,Apple,False,gr,58.0,7.8,13.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.05,0.0,0.0,1,"[<24.00 x gr>, <1.00 x gr>, <1.00 x ounce>, <0.80 x ounce>]"
133736452370221,Apple Sauce,Squeeze apple sauce,True,packet,60.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[<1.00 x packet>]
235054592511853,Apple (G),Apple,False,g / 1 large,130.0,0.0,34.0,1.0,5.0,25.0,0.0,2.0,0.0,2.0,0.0,0.0,260.0,0.0,0.0,2.0,8.0,3,"[<242.00 x g / 1 large>, <1.00 x g / 1 large>]"
133762393116349,Half apple,Apple,False,meal,323.0,2.0,12.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[<1.00 x meal>]
98139896794477,Apple,British Apple,False,g,71.0,0.1,11.8,0.4,1.8,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[<133.00 x g>, <1.00 x g>, <1.00 x container (665 g)>, <1.00 x ounce>]"
32606993035245,1 Normal Apple,Apple,False,Normal Apple,52.0,0.0,25.0,0.0,4.0,19.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,3,[<1.00 x Normal Apple>]
128932404784317,Royal Gala Apple,Apple..,False,medium raw,80.0,0.0,20.0,0.0,5.0,11.4,1.0,2.0,0.0,2.0,0.0,0.0,195.0,0.0,0.0,2.0,20.0,3,[<1.00 x medium raw>]
68057555725357,Apple- Med Apple,Generic,False,medium,95.0,0.3,25.0,0.5,4.4,14.0,2.0,1.0,0.0,1.0,0.0,0.1,195.0,0.1,0.0,1.0,14.0,7,[<1.00 x medium>]
168531857354157,Fuji Apple,Fuji Apple,False,large,118.0,0.0,34.0,1.0,5.0,25.0,0.0,2.0,0.0,3.0,0,0,148.2,0,0.0,3.0,13.0,7,[<1.00 x large>]
62841439604093,Apple,Pink Lady - Apple,False,g,83.0,0.4,19.5,0.3,3.6,18.8,0.0,0.5,0.0,0.5,0,0,0,0.01,0.0,0.5,2.0,0,"[<150.00 x g>, <1.00 x g>, <1.00 x ounce>]"
137874494066413,Apple Organic,Braeburn Apple,False,medium,71.0,0.0,19.0,0.0,3.0,14.0,1.0,1.0,0.0,1.0,0.0,0.0,148.0,0.0,0.0,1.0,8.0,3,[<1.00 x medium>]
63365564919149,Apple Pack,Subway Apple Pack,True,Pack,35.0,0.0,9.0,0.0,2.0,7.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1,[<1.00 x Pack>]
54863541980653,Apple Small Green Apple,Apple Generic Home,False,Apple,84.0,0.0,22.0,0.0,6.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,108.1,0.0,0.0,0.0,2.0,1,"[<0.50 x Apple>, <1.00 x Apple>]"
199578053520701,apple,Eastern apple,False,g,80.0,0.0,22.0,0.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0,"[<154.00 x g>, <1.00 x g>, <1.00 x ounce>, <1.00 x lb(s)>, <5.40 x ounce>]"
133615944944941,Apple,Apple Granny Smith,False,large apple less sugars,130.0,0.0,34.0,1.0,5.0,0.0,0.0,2.0,0.0,4.0,0.0,5.0,260.0,0.0,0.0,2.0,8.0,1,[<1.00 x large apple less sugars>]
94308806896893,carmel apple,carmel apple,False,apple,250.0,8.0,45.0,2.0,2.0,38.0,60.0,5.0,1.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,0,[<1.00 x apple>]
67643108142509,Apple Sweetango Corrected,Apple,False,Medium Apple,80.0,0.2,22.0,0,5.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,170.0,0.0,0.0,2.0,8.0,2,[<1.00 x Medium Apple>]
67505748823293,Gala Apple,Apple Country,False,Medium Apple(154g/5.5 oz),80.0,0.0,22.0,0.0,5.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,170.0,0.0,0.0,2.0,8.0,3,"[<1.00 x Medium Apple(154g/5.5 oz)>, <1.00 x container (10 medium apple(154g/5.5 oz) ea.)>, <1.00 x Medium Apple>]"
